word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,tense,plural,detail,audio,audio_uk,audio_us
a fond,ɑ:'fɒŋ,,"彻底地, 安全地",,,,,,,,,,,,
a fool's errand,,,徒劳的任务,,,,,,,,,,,,
a fool's paradise,,,黄粱美梦,,,,,,,,,,,,
a football pro,,,n. 一个职业足球运动员,,,,,,,,,,,,
a forecast zone,,,(气象)预报地带,,,,,,,,,,,,
a foregone conclusion,,,预料中必然的结局,,,,,,,,,,,,
a forlorn hope,,,"极微的希望, 孤注一掷的举动, 敢死队",,,,,,,,,,,,
a form of address,,,称呼,,,,,,,,,,,,
a format,,,[电] A格式,,,,,,,,,,,,
a free hand,,,放手处理的权利,,,,,,,,,,,,
a free wind,,,顺风,,,,,,,,,,,,
a friend in court,,,有势力的朋友,,,,,,,,,,,,
a friend of yours,,,你的一位朋友,,,,,,,,,,,,
a front yard,,,前院,,,,,,,,,,,,
a future life,,,来生,,,,,,,,,,,,
a gallery hit,,,卖弄技巧的表演,,,,,,,,,,,,
a gallery shot,,,卖弄技巧的表演,,,,,,,,,,,,
a gallery stroke,,,卖弄技巧的表演,,,,,,,,,,,,
a game of chance,,,靠碰运气取胜的游戏,,,,,,,,,,,,
a game of skill,,,靠技能的游戏,,,,,,,,,,,,
a general thing,,,惯例,,,,,,,,,,,,
a general war,,,全面战争,,,,,,,,,,,,
a general's battle,,,战略战术的较量,,,,,,,,,,,,
a gentleman at large,,,"有闲阶级的人, 无职业者",,,,,,,,,,,,
a gentleman of fortune,,,冒险家,,,,,,,,,,,,
a gentleman's agreement,,,君子协定,,,,,,,,,,,,
a gentleman's gentleman,,,男仆,,,,,,,,,,,,
a ghostly director,,,听忏悔的神父,,,,,,,,,,,,
a ghostly father,,,听忏悔的神父,,,,,,,,,,,,
a gleam of...,,,"一线..., 一丝...",,,,,,,,,,,,
a go-go,,,"a. 摇摆舞的, 无节制的, 乱窜的, 活跃的, 最时髦的",,,,,,,,,,,,
a gone case,,,不可救药的人,,,,,,,,,,,,
a gone coon,,,没有希望的人,,,,,,,,,,,,
a good deal of,,,很多的,,,,,,,,,,,,
a good egg,,,好人,,,,,,,,,,,,
a good few,,,相当多,,,,,,,,,,,,
a good job,,,幸运事,,,,,,,,,,,,
a good life,,,"道德的生活, 活得到平均寿命的人, 好的生活",,,,,,,,,,,,
a good lot,,,"大量, 很, 非常",,,,,,,,,,,,
a good many,,,很多,,,,,,,,,,,,
a good sort,,,好人,,,,,,,,,,,,
a good turn,,,有利的举动,,,,,,,,,,,,
a Gordian knot,,,"棘手的问题, 难解的结, 关键",,,,,,,,,,,,
a great deal,,,大量,,,,,,,,,,,,
a great diversity of...,,,多种多样的...,,,,,,,,,,,,
a great gulf fixed,,,鸿沟,,,,,,,,,,,,
a great lot,,,大量,,,,,,,,,,,,
a great many,,,许许多多,,,,,,,,,,,,
a great quantity,,,大量,,,,,,,,,,,,
a Greek gift,,,图谋害人的礼物,,,,,,,,,,,,
a grey mare,,,胜过丈夫的妻子,,,,,,,,,,,,
a gross medley of...,,,...的大杂烩,,,,,,,,,,,,
a guerrilla zone,,,游击区,,,,,,,,,,,,
a hanging matter,,,要处绞刑的案件,,,,,,,,,,,,
a hard case,,,"不可救药的人, 难对付的人",,,,,,,,,,,,
a heart of gold,,,道德高尚的人,,,,,,,,,,,,
a heart of oak,,,果断的人,,,,,,,,,,,,
a heavy date,,,重要的约会,,,,,,,,,,,,
a heavy purse,,,富裕,,,,,,,,,,,,
a hell of a...,,,"极度的, 难以容忍的, 糟糕的, 极好的",,,,,,,,,,,,
a hen on,,,图谋,,,,,,,,,,,,
a hill of beans,,,"少量, 小事",,,,,,,,,,,,
a hit at sb,,,对某人的讽刺,,,,,,,,,,,,
a hog in armour,,,举止笨拙的人,,,,,,,,,,,,
a home from home,,,象家里一样舒适的环境,,,,,,,,,,,,
a home truth,,,"老生常谈, 令人难堪的事实, 逆耳的老实话",,,,,,,,,,,,
a horn of plenty,,,富饶的象征,,,,,,,,,,,,
a horse on sb.,,,针对某人的恶作剧,,,,,,,,,,,,
a hot number,,,"热门货, 感情热烈的女子",,,,,,,,,,,,
a hot potato,,,棘手的问题,,,,,,,,,,,,
a house of call,,,"零工待雇处, 常去的场所",,,,,,,,,,,,
a house of cards,,,"纸牌做的房子, 不牢靠的计划",,,,,,,,,,,,
a house of correction,,,教养院,,,,,,,,,,,,
a house of detention,,,拘留所,,,,,,,,,,,,
a house of God,,,教堂,,,,,,,,,,,,
a household word,,,人人皆知的词语,,,,,,,,,,,,
a hue and cry,,,"通辑令, 叫喊声, 喊捉声, 喧哗",,,,,,,,,,,,
a hundred and one,,,许多,,,,,,,,,,,,
a hundred percent,,,"百分之百, 完全",,,,,,,,,,,,
A ignore B gate,,,[计] 与B无关的A门,,,,,,,,,,,,
a Jack in office,,,自命不凡的小官,,,,,,,,,,,,
a Jack of straw,,,稻草人,,,,,,,,,,,,
a job lot,,,整批买卖的杂货,,,,,,,,,,,,
a jolly dog,,,快活的人,,,,,,,,,,,,
a Judas kiss,,,"口蜜腹剑, 阴险的背叛",,,,,,,,,,,,
a king's ransom,,,一笔巨款,,,,,,,,,,,,
a knowing card,,,精明者,,,,,,,,,,,,
a la carte,ɑ: lɑ: 'kɑ:t,,a. 按菜单点菜的\nad. 按菜单点菜,,,,,,,,,,,,
a labour of love,,,爱做的事,,,,,,,,,,,,
a large number of,,,"大量的..., 许多...",,,,,,,,,,,,
a large quantity of,,,大量...,,,,,,,,,,,,
a large variety of,,,"各种各样的..., 种种...",,,,,,,,,,,,
a leading card,,,"先例, 榜样",,,,,,,,,,,,
a leap year,,,闰年,,,,,,,,,,,,
a legal year,,,法定年,,,,,,,,,,,,
A level,,,n. 英国GCE考试甲级标准,,,,,,,,,,,,
a light hand,,,熟练(的手艺),,,,,,,,,,,,
a light purse,,,贫困,,,,,,,,,,,,
a liquidation sale,,,清仓拍卖,,,,,,,,,,,,
a little,,,"一些, 一点点, 一点儿, 稍微, 些许",,,1,,,,,,,,,
a little tin god,,,自命不凡的人,,,,,,,,,,,,
a little too thick,,,"太过分, 过度",,,,,,,,,,,,
a little while ago,,,方才,,,,,,,,,,,,
a live wire,,,"通电电线, 有活力的人",,,,,,,,,,,,
a load of,,,"大量, 许多",,,,,,,,,,,,
a lone wolf,,,不喜欢与人来往的人,,,,,,,,,,,,
a long dozen,,,十三个,,,,,,,,,,,,
a long shot,,,不大会成功的尝试,,,,,,,,,,,,
a long shot gamble,,,孤注一掷,,,,,,,,,,,,
a loose fish,,,放荡不羁者,,,,,,,,,,,,
a lost sheep,,,"迷路的羊, 误入歧途的人",,,,,,,,,,,,
a lot,,,"大量, 很, 非常",,,1,,,,,,,,,
a lot of,,,许多的,,,,,,,,,,,,
a lucky miss,,,侥幸免难,,,,,,,,,,,,
a lump of selfishness,,,一个彻头彻尾的自私者,,,,,,,,,,,,
a lunar year,,,太阴年,,,,,,,,,,,,
a man about town,,,花花公子,,,,,,,,,,,,
a man of Belial,,,"无赖, 堕落者",,,,,,,,,,,,
a man of business,,,代理人,,,,,,,,,,,,
a man of God,,,"圣徒, 牧师",,,,,,,,,,,,
a man of iron,,,"意志坚强的人, 严酷的人",,,,,,,,,,,,
a man of letters,,,"学者, 作家",,,,,,,,,,,,
a man of mark,,,"名人, 要人",,,,,,,,,,,,
a man of mould,,,凡人,,,,,,,,,,,,
a man of parts,,,有才能的人,,,,,,,,,,,,
a man of sin,,,罪人,,,,,,,,,,,,
a man of straw,,,"稻草人, 假想的对手",,,,,,,,,,,,
a man of zeal,,,热心人,,,,,,,,,,,,
a man on horseback,,,军事独裁者,,,,,,,,,,,,
a marriage of convenience,,,基于利害关系的婚姻,,,,,,,,,,,,
a matron of honour,,,伴娘,,,,,,,,,,,,
a matter of,,,"...左右, ...上下, 只是...的问题而已, 只需, 大约",,,,,,,,,,,,
a matter of course,,,理所当然的事,,,,,,,,,,,,
a matter of opinion,,,看法不同的问题,,,,,,,,,,,,
a matter of record,,,有案可查的事,,,,,,,,,,,,
a medical man,,,医生,,,,,,,,,,,,
a mere apology for...,,,勉强充作...的东西,,,,,,,,,,,,
a mere pose for,,,不过是...的伪装,,,,,,,,,,,,
a mind reader,,,能猜出别人心思的人,,,,,,,,,,,,
a mine yawl,,,布雷快艇,,,,,,,,,,,,
a mine zone,,,布雷区,,,,,,,,,,,,
a Mongolian yurt,,,蒙古包,,,,,,,,,,,,
a month of Sundays,,,很久,,,,,,,,,,,,
a month or so,,,一个月左右,,,,,,,,,,,,
a mountain of flesh,,,高大结实的人,,,,,,,,,,,,
a narrow escape,,,九死一生,,,,,,,,,,,,
a narrow squeak,,,"九死一生的脱险, 勉强的成功",,,,,,,,,,,,
a nasty one,,,"责骂, 使人一蹶不振的打击",,,,,,,,,,,,
a near escape,,,九死一生,,,,,,,,,,,,
a near go,,,极侥幸的逃脱,,,,,,,,,,,,
a near thing,,,侥幸的脱险,,,,,,,,,,,,
a near touch,,,九死一生,,,,,,,,,,,,
a negligible quantity,,,可忽略的因素,,,,,,,,,,,,
a nice bit of,,,相当多的,,,,,,,,,,,,
a nine days wonder,,,轰动一时后便被忘却的事,,,,,,,,,,,,
a nodding acquaintance,,,点头之交,,,,,,,,,,,,
a nose of wax,,,"耳朵软的人, 容易塑捏的东西",,,,,,,,,,,,
a number of,,,许多的,,,,,,,,,,,,
a pair of,,,"一对..., 一付...",,,,,,,,,,,,
a passage of arms,,,"交战, 争论",,,,,,,,,,,,
a passed master,,,老手,,,,,,,,,,,,
a penelope's web,,,永远完成不了的工作,,,,,,,,,,,,
a piece of,,,"一块..., 一片...",,,,,,,,,,,,
a piece of cake,,,轻松的事,,,,,,,,,,,,
a piece of goods,,,人,,,,,,,,,,,,
a piece of work,,,"一件工作, 难事, 一件作品",,,,,,,,,,,,
a pigeon pair,,,龙凤双胞胎,,,,,,,,,,,,
a pile of shit,,,"废话, 胡说, 废物, 卑鄙者",,,,,,,,,,,,
a play upon words,,,"双关语, 俏皮话",,,,,,,,,,,,
a point of honour,,,为维护脸面必须做的事,,,,,,,,,,,,
a point of view,,,观点,,,,,,,,,,,,
a posteriori,,,"[计] 后验的, 凭经验的, 归纳的",,,,,,,,,,,,
a posteriori estimation,,,[计] 后验估计,,,,,,,,,,,,
a pound of flesh,,,合法不合理的事,,,,,,,,,,,,
a powre supply,,,[电] A电源,,,,,,,,,,,,
A pox on him,,,他该死,,,,,,,,,,,,
a practical joke,,,恶作剧,,,,,,,,,,,,
a pretty pass,,,困境,,,,,,,,,,,,
a priest of Bacchus,,,酒鬼,,,,,,,,,,,,
a priori,.eiprai'ɒ:rai,,"由因及果的, 演绎的, 先验的\n[法] 公理的, 自明的",,,,,,,,,,,,
a program parade,,,节目预告,,,,,,,,,,,,
a put-up job,,,"骗局, 圈套",,,,,,,,,,,,
a putty medal,,,小奖赏,,,,,,,,,,,,
a queen of hearts,,,美人,,,,,,,,,,,,
a racing yacht,,,竞赛用快艇,,,,,,,,,,,,
a rainbow of,,,"各种各样的..., 五颜六色的...",,,,,,,,,,,,
a rat race,,,激烈的竞争,,,,,,,,,,,,
a reign of terror,,,恐怖统治,,,,,,,,,,,,
a residence zone,,,住宅区,,,,,,,,,,,,
a rhetorical question,,,反问句,,,,,,,,,,,,
a right guy,,,可靠的人,,,,,,,,,,,,
a rope of sand,,,"不牢固的结合, 无结果的事",,,,,,,,,,,,
a rough diamond,,,"未加工的天然钻石, 外粗内秀之人",,,,,,,,,,,,
a rum start,,,惊人的事情,,,,,,,,,,,,
a rummage sale,,,"清仓拍卖, 捐赠品义卖",,,,,,,,,,,,
a running commentary,,,当场连续的评述,,,,,,,,,,,,
a running fire,,,"连发, 一连串的批评指责",,,,,,,,,,,,
a sad dog,,,"放荡的人, 鲁莽的人",,,,,,,,,,,,
a saving grace,,,可取之处,,,,,,,,,,,,
a sealed book,,,"天书, 高深莫测的事物",,,,,,,,,,,,
a second birth,,,再生,,,,,,,,,,,,
a series of,,,"一系列..., 一批...",,,,,,,,,,,,
a sheer fraud,,,彻头彻尾的骗局,,,,,,,,,,,,
a shipyard,,,"造船厂, 造般所",,,,,,,,,,,,
a short cut,,,"近路, 捷径",,,,,,,,,,,,
a short shrift,,,"临终忏悔, 临死前的短暂时间",,,,,,,,,,,,
a short while ago,,,方才,,,,,,,,,,,,
a shotgun marriage,,,"怀孕所迫的结婚, 强迫的结合",,,,,,,,,,,,
a sidereal year,,,恒星年,,,,,,,,,,,,
a silver tongue,,,流利的口才,,,,,,,,,,,,
a sitting duck,,,易捕获的猎物,,,,,,,,,,,,
a sixty-four dollar question,,,"最重要的问题, 最后也是最难的问题",,,,,,,,,,,,
a slap-bang shop,,,小饭店,,,,,,,,,,,,
a sleight of hand,,,"戏法, 魔术, 花招, 熟练的手法",,,,,,,,,,,,
a sly dog,,,"暗中偷欢的人, 偷鸡摸狗的人",,,,,,,,,,,,
a small number of,,,少量的...,,,,,,,,,,,,
a small proportion of,,,小部分...,,,,,,,,,,,,
a smart guy,,,精明的家伙,,,,,,,,,,,,
a smooth article,,,圆滑的人,,,,,,,,,,,,
a smooth face,,,"没胡子的脸, 一副讨好的面孔",,,,,,,,,,,,
a solar year,,,太阳年,,,,,,,,,,,,
a soldier of fortune,,,兵痞,,,,,,,,,,,,
a soldier's battle,,,勇气和力量的较量,,,,,,,,,,,,
a son of Adam,,,"男人, 男孩",,,,,,,,,,,,
a son of Bacchus,,,酒鬼,,,,,,,,,,,,
a son of dripping,,,厨子,,,,,,,,,,,,
a son of ebony,,,黑人,,,,,,,,,,,,
a son of Momus,,,滑稽的人,,,,,,,,,,,,
a song and dance,,,"歌舞表演, 遁词, 废话",,,,,,,,,,,,
a spent bullet,,,强弩之末,,,,,,,,,,,,
a square yard,,,一平方码,,,,,,,,,,,,
a stage,,,[机] A阶树脂,,,,,,,,,,,,
a stand of colors,,,军旗,,,,,,,,,,,,
a standing joke,,,"笑柄, 总被嘲笑",,,,,,,,,,,,
a state of siege,,,戒严状态,,,,,,,,,,,,
a stiff neck,,,固执,,,,,,,,,,,,
a stool of repentance,,,悔罪席,,,,,,,,,,,,
a straight fight,,,一对一的竞选,,,,,,,,,,,,
a straight race,,,全力以赴的竞赛,,,,,,,,,,,,
a stream of,,,一连串的...,,,,,,,,,,,,
a supply,,,[电] A电源,,,,,,,,,,,,
a swollen opinion of,,,"自视过高, 自高自大",,,,,,,,,,,,
a tender spot,,,痛处,,,,,,,,,,,,
a thing of naught,,,毫无价值的东西,,,,,,,,,,,,
a thing of yesterday,,,"最近的事, 最近的东西",,,,,,,,,,,,
a thought,,,"稍许, 一点点, 少量",,,,,,,,,,,,
a thousand and one,,,"一千零一, 许许多多",,,,,,,,,,,,
a thousand to one,,,"千对一, 几乎绝对的",,,,,,,,,,,,
a tough guy,,,硬汉,,,,,,,,,,,,
a tough nut,,,"大胆果断的人, 暴躁的人",,,,,,,,,,,,
a tour of duty,,,"值班, 值日勤务",,,,,,,,,,,,
a tower of strength,,,中流砥柱,,,,,,,,,,,,
a trace,,,[电] A扫描轨迹,,,,,,,,,,,,
a transformaton,,,"[机] 变换, 变态",,,,,,,,,,,,
a trifle,,,"有点儿, 稍微",,,,,,,,,,,,
a tropical year,,,回归年,,,,,,,,,,,,
a truce to,,,别再...了,,,,,,,,,,,,
a true blue,,,忠实成员,,,,,,,,,,,,
a tungsten blues,,,[机] 钨蓝,,,,,,,,,,,,
a twice-told tale,,,尽人皆知的事,,,,,,,,,,,,
a type graphite,,,[机] A型石墨,,,,,,,,,,,,
a type graphtie,,,[机] A型石墨,,,,,,,,,,,,
a US postal zone,,,美国邮区,,,,,,,,,,,,
a variety,,,种种,,,,,,,,,,,,
a variety of,,,"各种各样的..., 种种...",,,,,,,,,,,,
a velvet glove,,,表面温和的东西,,,,,,,,,,,,
a velvet paw,,,"肉爪(猫的), 笑里藏刀",,,,,,,,,,,,
a walking dictionary,,,活字典,,,,,,,,,,,,
a walking skeleton,,,骨瘦如柴的人,,,,,,,,,,,,
a war zone,,,战区,,,,,,,,,,,,
a warm corner,,,激战地区,,,,,,,,,,,,
a week later,,,一星期后,,,,,,,,,,,,
a week of Sundays,,,"很长的时间, 很久",,,,,,,,,,,,
a wet blanket,,,令人扫兴的人(或物),,,,,,,,,,,,
a wet hen,,,"讨厌的人, 泼妇",,,,,,,,,,,,
a wet smack,,,讨厌的人,,,,,,,,,,,,
a whale at,,,"善于...的人, 热心于...的人",,,,,,,,,,,,
a whale for,,,"善于...的人, 热心于...的人",,,,,,,,,,,,
a whale of a...,,,"极大的, 极好的, 了不起的",,,,,,,,,,,,
a whale on,,,"善于...的人, 热心于...的人",,,,,,,,,,,,
a white crow,,,罕见的东西,,,,,,,,,,,,
a white elephant,,,"沉重的负担, 无用的累赘东西",,,,,,,,,,,,
a white lie,,,无恶意的谎话,,,,,,,,,,,,
a white night,,,"白夜, 失眠的夜晚",,,,,,,,,,,,
a whited sepulchre,,,"伪君子, 伪善者",,,,,,,,,,,,
a widow's mite,,,少而可贵的捐献,,,,,,,,,,,,
a wild-goose chase,,,"徒劳的搜索, 无益的举动",,,,,,,,,,,,
a woman of letters,,,女作家,,,,,,,,,,,,
a word in season,,,"合时宜的话, 受欢迎的话",,,,,,,,,,,,
a yang ko troup,,,秧歌队,,,,,,,,,,,,
a yard of clay,,,陶制长烟管,,,,,,,,,,,,
a yawning chasm,,,裂着大口的陷窟,,,,,,,,,,,,
a yawning hole,,,豁开的洞,,,,,,,,,,,,
a yeast taste,,,酵母味,,,,,,,,,,,,
a yellow-dog contract,,,以受雇工人不加入工会为条件的雇用契约,,,,,,,,,,,,
a yen for travel,,,旅行的渴望,,,,,,,,,,,,
a yet easier task,,,更容易的工作,,,,,,,,,,,,
a yet unfinished task,,,尚未完成的任务,,,,,,,,,,,,
a yet worse mistake,,,更为严重的错误,,,,,,,,,,,,
a young animal,,,幼小的动物,,,,,,,,,,,,
a young child,,,幼童,,,,,,,,,,,,
a young country,,,新兴的国家,,,,,,,,,,,,
a young family,,,幼小子女,,,,,,,,,,,,
a young man,,,青年男子,,,,,,,,,,,,
a young manner,,,青春焕发的神态,,,,,,,,,,,,
a young person,,,年轻人,,,,,,,,,,,,
a young state,,,年轻的国家,,,,,,,,,,,,
a young tree,,,幼小的树,,,,,,,,,,,,
a youthful cadre,,,年轻的干部,,,,,,,,,,,,
a youthful river,,,幼年河,,,,,,,,,,,,
a zero-zero fog,,,能见度等于零的浓雾,,,,,,,,,,,,
a zigzag path,,,"蜿蜒的小径, (弯曲的)羊肠小道",,,,,,,,,,,,
a zone in depth,,,纵深地带,,,,,,,,,,,,
a zone of communication,,,战区后勤地带,,,,,,,,,,,,
a zone of fire,,,射界,,,,,,,,,,,,
a zone of influence,,,势力范围,,,,,,,,,,,,
a zoological garden,,,动物园,,,,,,,,,,,,
a zoomorphic deity,,,动物形的神,,,,,,,,,,,,
a-,,,"pref. 不, 缺少, 无\n[医] 不, 无, 缺; 离",,,,,,,,,,,,
a-b box,,,"[计] 切换箱, 多路切换箱",,,,,,,,,,,,
a-b power pack,,,[电] 甲乙电源,,,,,,,,,,,,
a-b test a-b,,,[电] 测试,,,,,,,,,,,,
a-b toll system,,,"[电] 甲乙长途制, A-B长途制",,,,,,,,,,,,
a-b toll trunk,,,"[电] 甲乙长途中继线, AB长途中断线制",,,,,,,,,,,,
a-battery,,,[电] 甲电池,,,,,,,,,,,,
A-bomb,'eibɔm,,n. 原子弹\nvt. 用原子弹轰炸,,,,,,,,,,,,
