Let's try something.	我們試試看！
His essay gave only a superficial analysis of the problem, so it was a real surprise to him when he got the highest grade in the class.	他寫的文章只分析了問題的表面，所以他知道自己拿了全班最高分的時候，不禁感到十分驚訝。
It depends what you mean by "believe" in God.	这取决于你所说的”相信“上帝是什么意思。
If I gave no answer, I would not have spoken.	如果我没有给予任何回答，我不会说话。
Food and drink were served in such profusion at the wedding that the bride and groom began to wonder if they should not have invited more guests.	婚礼上饮料和食物那么丰富以至于那对年轻的新人开始怀疑他们本不该邀请更多的客人。
Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.	某些失明者会产生一个弥补性的能力，这个能力让他们察觉到他们与离他们很近的物体的距离。
Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.	雖然冷戰已經過了這麼多年，俄羅斯人和德國人之間的仇恨還是沒有消除，在蘇聯曾經侵佔過的地區，這種仇恨就更深了。
Shocked by the events of September 11th, politicians all over the world condemned the terrorists for their reprehensible deed.	911事件让世人震惊，全球所有的政治家都一致谴责恐怖分子的这一应受人斥责的行径。
I would like to retract my previous statement.	我想撤回我之前的陈述。
Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit.	彼得是一个利他主义的游戏玩家，他会把东西给需要的人，而不是为一己之私利出售。
Even if your sentences were actually senseless, you at least have the luck to be able to form beautiful sentences.	即使你的句子实际上是毫无意义的，至少你有幸能造出好句子。
I like my job very much.	我非常喜欢我的工作。
Sometimes hockey players get so competitive that fights break out.	有时候冰球运动员相互挑衅得太厉害以至于会引发斗殴。
I find words with concise definitions to be the easiest to remember.	我发现有明确定义的词最容易记住。
The news article painted the defendant as a guilty man, even though he had been proven innocent.	该报文章中将被告人描述成一个罪魁祸首，尽管他已经被证明是无辜的了。
The politician pushed for reform by denouncing the corruption of the government officials.	政治家以揭露政府官员的腐败来推动改革。
I dreamt about you.	我梦到你了。
I won't lose!	我不会输！
I was late to school.	我上学迟到了。
I think I'm gonna sneeze. Give me a tissue.	我想我要打喷嚏了。。。给我张纸巾。
This day was just a waste of time and money.	这一天只是浪费时间，浪费金钱。
I've changed my website's layout.	我改了一下我网站的版面设计。	我改了一下我的网站的布局。
When we are small, everything seems so big.	我们小时候，所有的一切对我们来说都显得那么大。。。
He won't beat me.	他不會打倒我的。
I have to do laundry while it's still sunny.	趁还有太阳的时候，我该洗衣服。
Stop criticizing me!	不要再批评我了！
How many sandwiches are there left?	還剩下多少塊三明治？	还剩下几个三明治?
It's driving me crazy.	快把我逼疯了
It's all dark outside.	外面一片漆黑。
During summer breaks, I ate dinner at midnight.	暑假里，我半夜十二点才吃晚饭。
Never try to die.	千萬不要自殺。
I am too old for this world.	我对这个世界来说太老了。
Life begins when we realize who we really are.	当我们明白真正的自己时，生活开始了。
It is never too late to learn.	活到老，学到老。
It's just five in the morning, but nevertheless it is light out.	只有早上5点，但天已经亮了。	才早晨5点，但天已经亮了。
He told me the story of his life.	他给我讲述了他的一生。
What are you talking about?	你说的是什么？
I want a piece of candy.	我想要一颗糖。
The police are really good at understanding "Someone stole my credit card and ran up a lot of charges." It's a lot harder to get them to buy into "Someone stole my magic sword."	警方很能明白有人偷了我的信用卡，并提了好多钱。让他们相信”有人偷了我的魔剑“要难得多。
When are we eating? I'm hungry!	甚麼時候吃飯啊？我快餓死了啦！
I have class tomorrow.	我明天有课。
I can't believe it!	我没法相信！
"Thank you." "You're welcome."	"谢谢。" "不用谢。"
Winter is my favorite season.	冬天是我最喜欢的季节。
I spent twelve hours on the train.	我在火车上待了12小时。
She got sick this weekend.	她周末病倒了。
Hold on, someone is knocking at my door.	等等，有人在敲我的門。
He's sleeping like a baby.	他正睡着，像个婴儿一样。
I want a massage. I need to relax.	我想要按摩。我需要放松。
You're sick. You have to rest.	你病了，该休息了。
There's a secret path on the left.	在左边有一条秘密通道。
She's asking for the impossible.	她在无理取闹。
He disappeared without a trace.	他没有留下痕迹就消失了。	他消失了，不留一丝踪迹。
I can place the palms of my hands on the floor without bending my knees.	我不彎膝也能把手掌平放在地上。	我不用曲膝就能把我的手掌放到地上。
Everyone would like to believe that dreams can come true.	人人都愿意相信美梦可以成真。
The world doesn't revolve around you.	世界不是围着你转的。
Are you saying my life is in danger?	你在说我有生命危险吗？
This place has a mysterious atmosphere.	这个地方有一种神秘的气氛。
I look forward to hearing your thoughts on this matter.	我期待听到你在这件事上的想法 。
My life is hollow without him.	没有他我的生活是空虚的。
I don't want to fail my exams.	我不想不通过考试。	我不想挂科。	我不想不及格。	我不想落榜。	我不想考试失败。
My mother bought two bottles of orange juice.	我母亲买了两瓶橙汁。
She was wearing a black hat.	她戴着黑帽子。
We made pancakes for breakfast.	我们早餐做了煎饼。
I want to be more independent.	我想更加自立。
A rabbit has long ears and a short tail.	兔子有长耳朵和短尾巴。	兔子长着长长的耳朵和短短的尾巴。
My heart was filled with happiness.	我心里充满着快乐。
He wishes to erase bad memories.	他希望抹去不好的记忆。
I don't want to hear any more of your complaining.	我不想再听你抱怨了。
I don't have the strength to keep trying.	我没力气继续尝试了。
I'm tired of eating fast food.	我厌倦吃快餐了。	我受够吃快餐了。
I'm sick and tired of being sick and tired.	我讨厌厌烦的感觉。
I can't wait to go on a vacation.	我等不及要去度假。
Where is the bathroom?	洗手間在哪裡？
Each person is a world.	每个人都是一个世界。
I'm going to buy myself a new camera, digital this time.	我要给我自己买一个新照相机，这次要数码的。
I'm crazy about you.	我为你着迷。	我為你瘋狂。
I don't know what is worse.	我不知道什么更糟糕。
Life in prison is worse than the life of an animal.	监狱生活比做畜牲还不如。
I am proud to be a part of this project.	我以身為這個計劃的一份子為榮。
Who buys this type of art?	谁买这种艺术品？
What... you still don't know how to drive?	什么。。。？你还是不会开车？
Have you got a beard already?	你已经有胡子啦？
Freedom is not free.	自由是有代价的。
I created a shortcut on the desktop.	我在桌面上建了一个快捷方式。
I want an MP3 player!	我想要一个MP3播放器！
At this rate, we're not likely to be done before the end of the week.	按照这个速度，我们不会在这周结束前完成。
Where are you?	你在哪儿?
He will make you eat dirt.	他会让你吃灰的。
He has just published an interesting series of articles.	他刚发表一系列有趣的文章。
No way!	不可能！	没门！
It's a dead end.	这是个死胡同。
When I was your age, Pluto was a planet.	當我在你這個年紀時，冥王星是行星。
Elephants are the largest land animals alive today.	大象是如今现存的陆生动物里最大的。
The elevators in a skyscraper are vital systems.	摩天大厦里的电梯是至关重要的。
Cheese is a solid food made from the milk of cows, goats, sheep, and other mammals.	奶酪是由母牛、山羊、绵羊或其它哺乳动物的奶被加工制造的坚硬的食物。
I usually take a shower in the evening.	我通常在晚上洗澡。
He spent the evening reading a book.	他在读书中度过夜晚.
If I don't do it now, I never will.	如果我現在不做，就永遠也不會做。
Good night. Sweet dreams.	晚安。祝你做個好夢。
This song is so moving that it brings tears to my eyes.	這首歌太感人了，使我不禁流下了眼淚。
There are a lot of things you don't know about my personality.	你對我的個性還不太清楚。	我的个性还有很多方面是你不了解的。
Perhaps you are right, I have been selfish.	也許你說得對。我一直都很自私。
Everyone deserves a second chance.	每個人都值得被給予第二次機會。
If you do not have this program, you can download it now.	假如你没有这个程序，你现在就可以去下载。
